Date,Make,Color,Amount.Due,Violation,Location,Meter,Officer.Comment,SanitizedLocation,lat,lon
6/16/08,HOND,RED,0.00,METER VIOLATION,8TH AVE OLIVE ST WILLAME,32 38,NO TIME ON METER,8TH OLIVE,44.05119029999999,-123.0944561
6/16/08,STRN,BLU,0.00,METER VIOLATION,8TH AVE CHARNELTON ST OL,31 40,NO TIME ON METER,8TH CHARNELTON,44.05118239999999,-123.0963337
6/16/08,TOYT,GRY,12.00,METER VIOLATION,8TH AVE OLIVE ST WILLAME,41 5,NO TIME ON METER,8TH OLIVE,44.05119029999999,-123.0944561
6/16/08,TOYT,BLU,0.00,METER VIOLATION,OLIVE ST 11TH AVE 10TH A,58 21,NO TIME ON METER,OLIVE 11TH,44.0468219,-123.0929691
6/16/08,SUBA,BLU,0.00,METER VIOLATION,WEST PARK-8,42 65,NO TIME ON METER,,,
6/16/08,SAAB,MAR,0.00,METER VIOLATION,PEARL ST 10TH AVE BROADW,52 16,NO TIME ON METER,PEARL 10TH,44.04929,-123.089954
6/16/08,VOLV,GRY,0.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,226-6,NO TIME ON METER,13TH KINCAID,44.04411040000001,-123.0789666
6/16/08,PONT,RED,0.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,226-5,NO TIME ON METER,13TH KINCAID,44.04411040000001,-123.0789666
6/16/08,CHEV,YEL,24.00,EXCEEDING THE TIME LIM,13TH AVE ALDER ST HILYAR,225-8,NO TIME ON METER@ 1HR.,13TH ALDER,44.0456069,-123.079995
6/16/08,GMC,WHT,30.00,WRONG SIDE PARKING,EMERALD ST 18TH AVE 19TH,NA,MUST PARK WITH FLOW OF TRAFFIC,,,
6/16/08,DODG,PUR,0.00,METER VIOLATION,HILYARD ST 13TH AVE 14TH,224-22,NO TIME ON METER,HILYARD 13TH,44.04473,-123.081623
6/16/08,JEEP,GRN,0.00,TIME LIMIT ZONE,14TH AVE PATTERSON ST HI,NA,CHALK MARK STILL VISIBLENO PERMIT VI,14TH PATTERSON,44.04473,-123.081623
6/16/08,TOYT,BEI,0.00,TIME LIMIT ZONE,14TH AVE PATTERSON ST HI,NA,CHALK MARK STILL VISIBLE,14TH PATTERSON,44.04473,-123.081623
6/16/08,FORD,ONG,0.00,TIME LIMIT ZONE,15TH AVE PATTERSON ST HI,NA,CHALK MARK STILL VISIBLENO PERMIT VI,15TH PATTERSON,44.04515199999999,-123.0834043
6/16/08,HOND,RED,0.00,METER VIOLATION,15TH AVE AGATE ST MOSS S,245-37,NO TIME ON METER,,,
6/16/08,HOND,WHT,0.00,METER VIOLATION,15TH AVE MOSS ST AGATE S,257-5,NO TIME ON METER,,,
6/16/08,JEEP,WHT,0.00,METER VIOLATION,13TH AVE MOSS ST AGATE S,234-4,NO TIME ON METER,13TH MOSS,44.04159629999999,-123.0660206
6/16/08,HOND,WHT,0.00,METER VIOLATION,KINCAID ST 12TH AVE 13TH,214-15,NO TIME ON METER,KINCAID 12TH,44.04411040000001,-123.0789666
6/16/08,FORD,WHT,24.00,TIME LIMIT ZONE,15TH AVE VILLARD ST MOSS,NA,CHALK MARK STILL VISIBLENO PERMIT VI,15TH VILLARD,44.0432966,-123.0648021
6/16/08,BMW,BLK,0.00,METER VIOLATION,KINCAID ST END 11TH AVE,205-6,NO TIME ON METER,KINCAID END,44.028754,-123.079741
6/16/08,SUBA,WHT,0.00,METER VIOLATION,12TH AVE KINCAID ST ALDE,214-11,NO TIME ON METER,12TH KINCAID,44.04411040000001,-123.0789666
6/16/08,CHRY,GRY,0.00,METER VIOLATION,KINCAID ST 12TH AVE 13TH,214-17,NO TIME ON METER,KINCAID 12TH,44.04411040000001,-123.0789666
6/16/08,GEO,BEI,0.00,METER VIOLATION,KINCAID ST 11TH AVE 12TH,210-51,NO TIME ON METER,KINCAID 11TH,44.04411040000001,-123.0789666
6/16/08,BMW,BLK,0.00,METER VIOLATION,KINCAID ST 11TH AVE 12TH,209-21,NO TIME ON METER,KINCAID 11TH,44.04411040000001,-123.0789666
6/16/08,NISS,WHT,0.00,TIME LIMIT ZONE,COLUMBIA ST 17TH AVE 19T,NA,CHALK MARK STILL VISIBLENO PERMIT VI,COLUMBIA 17TH,44.04111049999999,-123.0680264
6/16/08,NISS,GRY,0.00,METER VIOLATION,SOUTH PARK-0E,42 74,NO TIME ON METER,,,
6/16/08,DODG,WHT,24.00,METER VIOLATION,WEST PARK-8,42 64,NO TIME ON METER,,,
6/16/08,DODG,BEI,0.00,METER VIOLATION,WILLAMETTE 10TH AVE 11TH,60 49,NO TIME ON METER,WILLAMETTE AVE,44.0211181,-123.0919185
6/16/08,TOYT,MAR,0.00,METER VIOLATION,8TH AVE OLIVE ST WILLAME,41 10,NO TIME ON METER,8TH OLIVE,44.05119029999999,-123.0944561
6/16/08,CHEV,GRY,24.00,METER VIOLATION,5TH AVE HIGH ST PEARL ST,17 5,NO TIME ON METER,5TH HIGH,44.0535416,-123.0878574
6/16/08,TOYT,MAR,0.00,METER VIOLATION,11TH AVE WILLAMETTE OAK,70 10,NO TIME ON METER,11TH WILLAMETTE,44.0391468,-123.0924404
6/16/08,KIA,GRY,0.00,METER VIOLATION,BROADWAY ST OLIVE ST CHA,49 14,NO TIME ON METER,BROADWAY OLIVE,44.0497313,-123.0944583
6/16/08,TOYT,WHT,0.00,METER VIOLATION,BROADWAY ST PEARL ST HIG,44 37,NO TIME ON METER,BROADWAY PEARL,44.049821,-123.090191
6/16/08,BMW,MAR,0.00,METER VIOLATION,HIGH ST 5TH AVE 6TH AVE,18 53,NO TIME ON METER,,,
6/16/08,STRN,BLU,0.00,METER VIOLATION,5TH AVE HIGH ST PEARL ST,17 8,NO TIME ON METER,5TH HIGH,44.0535416,-123.0878574
6/16/08,FORD,WHT,12.00,METER VIOLATION,KINCAID ST 14TH AVE 13TH,226-22,NO TIME ON METER,KINCAID 14TH,44.04411040000001,-123.0789666
6/16/08,VOLV,BLK,0.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,214-39,NO TIME ON METER,13TH KINCAID,44.04411040000001,-123.0789666
6/16/08,JEEP,GRY,0.00,TIME LIMIT ZONE,14TH AVE PATTERSON ST HI,NA,CHALK MARK STILL VISIBLENO PERMIT VI,14TH PATTERSON,44.04473,-123.081623
6/16/08,HOND,WHT,0.00,TIME LIMIT ZONE,15TH AVE FERRY ST PATTER,NA,CHALK MARK STILL VISIBLENO PERMIT VI,15TH FERRY,44.0452933,-123.084937
6/16/08,SUBA,MAR,0.00,TIME LIMIT ZONE,POTTER ST 19TH AVE 18TH,NA,CHALK MARK STILL VISIBLENO VALID PER,POTTER 19TH,44.0396102,-123.0757823
6/16/08,FORD,WHT,0.00,TIME LIMIT ZONE,19TH AVE ONYX ST EMERALD,NA,CHALK MARK STILL VISIBLENO PERMIT VI,19TH ONYX,44.0389094,-123.073056
6/16/08,TOYT,BLK,0.00,TIME LIMIT ZONE,16TH AVE PATTERSON ST HI,NA,CHALK MARK STILL VISIBLENO PERMIT VI,16TH PATTERSON,44.046878,-123.084076
6/16/08,FORD,WHT,0.00,TIME LIMIT ZONE,UNIVERSITY ST 19TH AVE 1,NA,CHALK MARK STILL VISIBLE,UNIVERSITY 19TH,44.0448302,-123.0726055
6/16/08,NISS,WHT,24.00,METER VIOLATION,14TH AVE KINCAID ST ALDE,239-7,NO TIME ON METER,14TH KINCAID,44.04411040000001,-123.0789666
6/16/08,NISS,BLK,0.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,214-42,NO TIME ON METER,13TH KINCAID,44.04411040000001,-123.0789666
6/16/08,ISUZ,BLK,24.00,METER VIOLATION,KINCAID ST 12TH AVE 13TH,214-20,NO TIME ON METER,KINCAID 12TH,44.04411040000001,-123.0789666
6/16/08,LEXS,BEI,0.00,METER VIOLATION,12TH AVE ALDER ST KINCAI,209-41,NO TIME ON METER,12TH ALDER,44.04646169999999,-123.0798634
6/16/08,LAND,GLD,0.00,METER VIOLATION,13TH AVE MOSS ST AGATE S,234-3,NO TIME ON METER,13TH MOSS,44.04159629999999,-123.0660206
6/16/08,FORD,GRY,0.00,METER VIOLATION,AGATE ST 17TH AVE 15TH A,255-33,NO TIME ON METER,,,
6/16/08,VOLK,SIL,0.00,EXCEEDING THE TIME LIM,KINCAID ST 12TH AVE 13TH,214-22,NO TIME ON METERCITED 10:22 AM/ 45 M,KINCAID 12TH,44.04411040000001,-123.0789666
6/16/08,NISS,BLK,0.00,"NO PARKING, STANDING,",KINCAID ST 12TH AVE 13TH,NA,NO PARKINGSEE,KINCAID 12TH,44.04411040000001,-123.0789666
6/16/08,TOYT,GRN,0.00,METER VIOLATION,KINCAID ST 11TH AVE END,205-10,NO TIME ON METER,KINCAID 11TH,44.04411040000001,-123.0789666
6/16/08,ISUZ,BLK,24.00,EXCEEDING THE TIME LIM,KINCAID ST 12TH AVE 13TH,214-20,NO TIME ON METERCITED 10:21 AM/ 45 M,KINCAID 12TH,44.04411040000001,-123.0789666
6/16/08,PONT,WHT,0.00,RESTRICTED BY SIGN,LOT 07 - EUGENE AIRPORT,NA,UNATTENDED,LOT -,44.0738645,-123.1453971
6/17/08,TOYT,BLU,0.00,METER VIOLATION,KINCAID - 13TH TO 12TH,214-25,NO TIME ON METER,,,
6/17/08,FORD,NA,0.00,HANDICAP,12TH & HILYARD,NA,NO PERMIT VISIBLE,,,
6/17/08,TOYT,MAR,0.00,METER VIOLATION,BROADWAY ST OLIVE ST CHA,49 14,NO TIME ON METER,BROADWAY OLIVE,44.0497313,-123.0944583
6/17/08,HOND,GRY,0.00,RESTRICTED BY SIGN,ALLEY LOT 01,NA,COMMERCIAL MARKED VEHICLE ONLYHC NOT,ALLEY 01,44.039064,-123.0704815
6/17/08,INTL,WHT,0.00,METER VIOLATION,OAK ST 6TH AVE 7TH AVE,25 48,NO TIME ON METER,OAK 6TH,44.053089,-123.091963
6/17/08,DODG,WHT,0.00,METER VIOLATION,8TH AVE OAK ST PEARL ST,34 38,NO TIME ON METER,8TH OAK,44.0516002,-123.0906409
6/17/08,MAZD,MAR,0.00,METER VIOLATION,11TH AVE OAK ST PEARL ST,71 8,NO TIME ON METER,11TH OAK,44.0475982,-123.0910519
6/17/08,SCIN,BLK,0.00,METER VIOLATION,11TH AVE WILLAMETTE OAK,70 4,NO TIME ON METER,11TH WILLAMETTE,44.0391468,-123.0924404
6/17/08,HOND,BLU,0.00,METER VIOLATION,BROADWAY ST CHARNELTON S,48 9,NO TIME ON METER,BROADWAY CHARNELTON,44.0497188,-123.0949709
6/17/08,OLDS,BLU,24.00,METER VIOLATION,LOT 15,25,NO TIME ON METER,,,
6/17/08,GMC,GRY,0.00,LEVEL 2,S/S 12TH - JEFF. TO WASH,NA,NA,,,
6/17/08,VOLK,GRN,0.00,METER VIOLATION,WILLAMETTE 8TH AVE BROAD,42 48,NO TIME ON METER,WILLAMETTE AVE,44.0211181,-123.0919185
6/17/08,SAAB,BLU,0.00,METER VIOLATION,WEST PARK-7,33 70,NO TIME ON METER,,,
6/17/08,VOLK,RED,0.00,METER VIOLATION,OLIVE ST BROADWAY ST 8TH,40 19,NO TIME ON METER,OLIVE BROADWAY,44.0497313,-123.0944583
6/17/08,TRAI,GRY,50.00,STORAGE OF VEHICLE ON,1444QUEENS WAY,NA,CHALK MARK STILL VISIBLECITIZEN COMP,,,
6/17/08,HOND,GRN,0.00,TIME LIMIT ZONE,12TH AVE LINCOLN ST CHAR,NA,2HRCHALK MARK STILL VISIBLE,,,
6/17/08,CHEV,BLK,0.00,TIME LIMIT ZONE,12TH AVE LINCOLN ST CHAR,NA,2HRCHALK MARK STILL VISIBLE,,,
6/17/08,FORD,GRY,0.00,METER VIOLATION,5TH AVE LAWRENCE ST LINC,11720,NO TIME ON METER,5TH LAWRENCE,44.0510462,-123.0983383
6/17/08,PORS,WHT,0.00,METER VIOLATION,WILLAMETTE 16TH AVE 15TH,99-23,NO TIME ON METER,WILLAMETTE AVE,44.0211181,-123.0919185
6/17/08,BUIC,GRY,0.00,METER VIOLATION,OLIVE ST 11TH AVE 10TH A,58 24,NO TIME ON METER,OLIVE 11TH,44.0468219,-123.0929691
6/17/08,DODG,GRN,0.00,METER VIOLATION,WILLAMETTE 8TH AVE BROAD,42 48,NO TIME ON METER,WILLAMETTE AVE,44.0211181,-123.0919185
6/17/08,MINI,BLU,0.00,METER VIOLATION,WEST PARK-8,42 63,NO TIME ON METER,,,
6/17/08,MERC,BLK,0.00,METER VIOLATION,8TH AVE LINCOLN ST CHARN,30 39,NO TIME ON METER,8TH LINCOLN,44.05118239999999,-123.0963337
6/17/08,TOYT,GRY,0.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,226-2,NO TIME ON METER,13TH KINCAID,44.04411040000001,-123.0789666
6/17/08,TOYT,BEI,0.00,TIME LIMIT ZONE,14TH AVE PATTERSON ST HI,NA,CHALK MARK STILL VISIBLENO PERMIT VI,14TH PATTERSON,44.04473,-123.081623
6/17/08,NISS,MAR,0.00,TIME LIMIT ZONE,14TH AVE HILYARD ST PATT,NA,CHALK MARK STILL VISIBLENO PERMIT VI,14TH HILYARD,44.04473,-123.081623
6/17/08,VOLK,GRY,0.00,TIME LIMIT ZONE,15TH AVE PATTERSON ST HI,NA,CHALK MARK STILL VISIBLENO PERMIT VI,15TH PATTERSON,44.04515199999999,-123.0834043
6/17/08,STRN,BLU,0.00,TIME LIMIT ZONE,16TH AVE FERRY ST PATTER,NA,CHALK MARK STILL VISIBLENO PERMIT VI,,,
6/17/08,VOLK,WHT,0.00,METER VIOLATION,11TH AVE - OAK TO WILLAMETTE,70-3,NO TIME ON METER,,,
6/17/08,SAAB,BRO,0.00,LEVEL 4,E/S KINCAID - 11TH TO END,NA,NA,,,
6/17/08,VOLK,BLK,0.00,LEVEL 2,W/S FERRY - 11TH TO 12TH,NA,NA,,,
6/17/08,TOYT,SIL,0.00,FAILURE TO PAY FINES A,N/S 12TH - KINCAID TO ALDER,NA,NA,,,
6/17/08,JEEP,MAR,0.00,METER VIOLATION,EAST PARK-8,43 89,NO TIME ON METER,,,
6/17/08,CHEV,GRY,0.00,METER VIOLATION,8TH AVE WILLAMETTE WEST,33 41,NO TIME ON METER,8TH WILLAMETTE,44.0510162,-123.0881198
6/17/08,TOYT,GRY,0.00,METER VIOLATION,BROADWAY ST PEARL ST OAK,52 4,NO TIME ON METER,BROADWAY PEARL,44.049821,-123.090191
6/17/08,BUIC,BLK,0.00,METER VIOLATION,SOUTH PARK-1E,43 98,NO TIME ON METER,,,
6/17/08,DODG,GRY,0.00,METER VIOLATION,PEARL ST BROADWAY ST 8TH,43 24,NO TIME ON METER,PEARL BROADWAY,44.0500531,-123.0898399
6/17/08,SUBA,MAR,0.00,METER VIOLATION,PEARL ST 10TH AVE BROADW,53 51,NO TIME ON METER,PEARL 10TH,44.04929,-123.089954
6/17/08,GMC,MAR,0.00,METER VIOLATION,LOT 15,64,NO TIME ON METER,,,
6/17/08,PORS,RED,0.00,METER VIOLATION,BROADWAY ST PEARL ST OAK,52 4,NO TIME ON METER,BROADWAY PEARL,44.049821,-123.090191
6/17/08,FORD,GRY,0.00,METER VIOLATION,PEARL ST 7TH AVE 6TH AVE,25 22,NO TIME ON METER,PEARL 7TH,44.0526132,-123.0871804
6/17/08,CHRY,GRY,0.00,RESTRICTED BY SIGN,LOT 34,NA,CITY PERMIT PARKING ONLYNPV,,,
6/17/08,FORD,RED,0.00,STORAGE OF VEHICLE ON,1927LAWRENCE ST,NA,CHALK MARK STILL VISIBLECITIZEN COMP,,,
6/17/08,TOYT,WHT,0.00,METER VIOLATION,LOT 21,50,NO TIME ON METER,,,
6/17/08,CHEV,GRY,0.00,TIME LIMIT ZONE,16TH AVE OLIVE ST WILLAM,NA,2HRCHALK MARK STILL VISIBLE,,,
6/17/08,MERC,WHT,0.00,TIME LIMIT ZONE,LAWRENCE ST 10TH AVE BRO,NA,2HRCHALK MARK STILL VISIBLE,LAWRENCE 10TH,44.0486331,-123.1000552
6/17/08,TOYT,BLK,0.00,METER VIOLATION,8TH AVE OAK ST PEARL ST,34 34,NO TIME ON METER,8TH OAK,44.0516002,-123.0906409
6/17/08,CHEV,WHT,0.00,METER VIOLATION,HIGH ST 5TH AVE 6TH AVE,18 47,NO TIME ON METER,,,
6/17/08,FORD,WHT,24.00,METER VIOLATION,WILLAMETTE 11TH AVE 10TH,59 17,NO TIME ON METER,WILLAMETTE AVE,44.0211181,-123.0919185
6/17/08,TOYT,MAR,0.00,METER VIOLATION,WILLAMETTE 10TH AVE 11TH,60 47,NO TIME ON METER,WILLAMETTE AVE,44.0211181,-123.0919185
6/17/08,TOYT,BLK,24.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,214-42,NO TIME ON METER,13TH KINCAID,44.04411040000001,-123.0789666
6/17/08,HOND,RED,0.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,214-36,NO TIME ON METER,13TH KINCAID,44.04411040000001,-123.0789666
6/17/08,HOND,RED,0.00,EXCEEDING THE TIME LIM,13TH AVE KINCAID ST ALDE,214-36,NO TIME ON METER@ 45 MIN.,13TH KINCAID,44.04411040000001,-123.0789666
6/17/08,SUBA,GRY,0.00,METER VIOLATION,KINCAID ST 15TH AVE 14TH,239-19,NO TIME ON METER,KINCAID 15TH,44.04411040000001,-123.0789666
6/17/08,TOYT,GRN,90.00,LEVEL 2,N/S GARDEN AVE. - WILL. TO VIL,NA,NA,,,
6/17/08,HOND,BLK,0.00,METER VIOLATION,PEARL ST - 8TH TO BROADWAY,NA,NO TIME ON METER,,,
6/17/08,CHEV,WHT,0.00,METER VIOLATION,LOT 31,48,NO TIME ON METER,,,
6/17/08,CHEV,BLU,0.00,TIME LIMIT ZONE,E/S COLUMBIA - 19TH TO 17TH,NA,CHALK MARK STILL VISIBLE,,,
6/17/08,CHEV,BLU,0.00,FAILURE TO PAY FINES A,E/S COLUMBIA - 19TH TO 17TH,NA,NA,,,
6/17/08,HOND,RED,0.00,TIME LIMIT ZONE,S/S 19TH - POTTER TO UNIVERSIT,NA,CHALK MARK STILL VISIBLE,,,
6/17/08,HOND,RED,0.00,LEVEL 3,S/S 19TH -POTTER TO UNIVERSITY,NA,NA,,,
6/17/08,DODG,GRY,0.00,METER VIOLATION,BROADWAY ST WILLAMETTE O,50 8,NO TIME ON METER,BROADWAY WILLAMETTE,44.050598,-123.09287
6/17/08,MITS,MAR,0.00,METER VIOLATION,8TH AVE PEARL ST HIGH ST,35 37,NO TIME ON METER,8TH PEARL,44.0516002,-123.0906409
6/17/08,TOYT,GRN,0.00,METER VIOLATION,SOUTH PARK-1E,43 96,NO TIME ON METER,,,
6/17/08,CHEV,GRN,24.00,METER VIOLATION,EAST PARK-8,43 80,NO TIME ON METER,,,
6/17/08,CHEV,WHT,0.00,METER VIOLATION,OAK ST 7TH AVE 8TH AVE,33 20,NO TIME ON METER,OAK 7TH,43.7517656,-122.4553777
6/17/08,HOND,BLU,0.00,METER VIOLATION,HIGH ST 6TH AVE 5TH AVE,17 25,NO TIME ON METER,HIGH 6TH,44.0530736,-123.096141
6/17/08,STRN,GRY,0.00,METER VIOLATION,BROADWAY ST WILLAMETTE O,42 37,NO TIME ON METER,BROADWAY WILLAMETTE,44.050598,-123.09287
6/17/08,TOYT,GRY,0.00,METER VIOLATION,CHARNELTON ST BROADWAY S,39 23,NO TIME ON METER,CHARNELTON BROADWAY,44.0495438,-123.0960329
6/17/08,DODG,RED,0.00,METER VIOLATION,CHARNELTON ST BROADWAY S,49 54,NO TIME ON METER,CHARNELTON BROADWAY,44.0495438,-123.0960329
6/17/08,TOYT,BLU,0.00,METER VIOLATION,10TH AVE CHARNELTON ST L,57 12,NO TIME ON METER,10TH CHARNELTON,44.0485301,-123.094962
6/17/08,DODG,GRY,0.00,METER VIOLATION,LOT 31,85,NO TIME ON METER,,,
6/17/08,AUDI,BLK,0.00,METER VIOLATION,LOT 31,88,NO TIME ON METER,,,
6/17/08,HOND,BLU,0.00,METER VIOLATION,WILLAMETTE 11TH AVE 14TH,70-50,NO TIME ON METER,,,
6/17/08,HYUN,WHT,0.00,TIME LIMIT ZONE,16TH AVE OLIVE ST WILLAM,NA,2HRCHALK MARK STILL VISIBLE,,,
6/17/08,TOYT,GRY,0.00,METER VIOLATION,LOT 10,23,NO TIME ON METER,,,
6/17/08,SUBA,BLK,0.00,METER VIOLATION,LOT 10,21,NO TIME ON METER,,,
6/17/08,TOYT,GRY,0.00,METER VIOLATION,LOT 10,46,NO TIME ON METER,,,
6/17/08,FORD,GRN,24.00,METER VIOLATION,LOT 10,19,NO TIME ON METER,,,
6/17/08,STRN,BLU,0.00,METER VIOLATION,14TH AVE KINCAID ST ALDE,239-7,NO TIME ON METER,14TH KINCAID,44.04411040000001,-123.0789666
6/17/08,FORD,RED,0.00,WRONG SIDE PARKING,15TH AVE ALDER ST HILYAR,NA,MUST PARK WITH FLOW OF TRAFFIC,15TH ALDER,44.043633,-123.084421
6/17/08,HYUN,GRY,0.00,WRONG SIDE PARKING,22ND AVE HILYARD ST ALDE,NA,MUST PARK WITH FLOW OF TRAFFIC,,,
6/17/08,TOYT,WHT,24.00,METER VIOLATION,18TH AVE ALDER ST UNIVER,270-32,NO TIME ON METER,18TH ALDER,44.039366,-123.0806285
6/17/08,NISS,RED,0.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,226-8,NO TIME ON METER,13TH KINCAID,44.04411040000001,-123.0789666
6/17/08,BMW,BLU,30.00,RESTRICTED BY SIGN,LOT 07 - AIRPORT TERMINAL,NA,UNATTENDED VEHICLE,LOT -,44.0738645,-123.1453971
6/17/08,NISS,BLU,0.00,TIME LIMIT ZONE,16TH AVE ALDER ST HILYAR,NA,CHALK MARK STILL VISIBLENO PERMIT VI,16TH ALDER,44.042008,-123.080528
6/17/08,VOLK,BLK,0.00,TIME LIMIT ZONE,HILYARD ST 15TH AVE 16TH,NA,CHALK MARK STILL VISIBLENO PERMIT VI,HILYARD 15TH,44.04473,-123.081623
6/17/08,SAAB,RED,24.00,METER VIOLATION,18TH AVE ALDER ST UNIVER,271-33,NO TIME ON METER,18TH ALDER,44.039366,-123.0806285
6/17/08,PONT,GRN,0.00,METER VIOLATION,KINCAID ST 13TH AVE END,240-63,NO TIME ON METER,KINCAID 13TH,44.04411040000001,-123.0789666
6/17/08,VOLK,GRY,0.00,EXCEEDING THE TIME LIM,KINCAID ST 12TH AVE 13TH,214-21,NO TIME ON METER@ 45 MIN.,KINCAID 12TH,44.04411040000001,-123.0789666
6/17/08,TOYT,WHT,0.00,TIME LIMIT ZONE,16TH AVE ALDER ST HILYAR,NA,CHALK MARK STILL VISIBLENO PERMIT VI,16TH ALDER,44.042008,-123.080528
6/17/08,CHEV,GRN,0.00,TIME LIMIT ZONE,17TH AVE ALDER ST HILYAR,NA,CHALK MARK STILL VISIBLENO PERMIT VI,17TH ALDER,44.0413005,-123.0802387
6/17/08,TOYT,RED,0.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,214-34,NO TIME ON METER,13TH KINCAID,44.04411040000001,-123.0789666
6/17/08,FORD,GRY,0.00,TIME LIMIT ZONE,17TH AVE ALDER ST HILYAR,NA,CHALK MARK STILL VISIBLE@ 1HR.,17TH ALDER,44.0413005,-123.0802387
6/17/08,TOYT,GRY,0.00,TIME LIMIT ZONE,14TH AVE PATTERSON ST HI,NA,CHALK MARK STILL VISIBLENO PERMIT VI,14TH PATTERSON,44.04473,-123.081623
6/17/08,NISS,MAR,0.00,TIME LIMIT ZONE,14TH AVE HILYARD ST PATT,NA,CHALK MARK STILL VISIBLENO PERMIT VI,14TH HILYARD,44.04473,-123.081623
6/17/08,FORD,WHT,0.00,TIME LIMIT ZONE,16TH AVE HILYARD ST PATT,NA,CHALK MARK STILL VISIBLENO PERMIT VI,16TH HILYARD,44.042008,-123.080528
6/17/08,MERC,GRN,0.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,214-40,NO TIME ON METER,13TH KINCAID,44.04411040000001,-123.0789666
6/17/08,SUBA,WHT,30.00,WRONG SIDE PARKING,WALNUT ST 17TH AVE 15TH,NA,MUST PARK WITH FLOW OF TRAFFIC,,,
6/17/08,TOYT,TAN,0.00,METER VIOLATION,15TH AVE MOSS ST AGATE S,256-1,NO TIME ON METER,,,
6/17/08,FORD,GRN,0.00,METER VIOLATION,15TH AVE MOSS ST AGATE S,256-4,NO TIME ON METER,,,
6/17/08,FORD,GRY,24.00,METER VIOLATION,AGATE ST 17TH AVE 15TH A,255-33,NO TIME ON METER,,,
6/17/08,FORD,GRY,0.00,METER VIOLATION,AGATE ST 17TH AVE 15TH A,255-37,NO TIME ON METER,,,
6/17/08,MITS,RED,0.00,METER VIOLATION,AGATE ST 17TH AVE 15TH A,255-45,NO TIME ON METER,,,
6/17/08,HOND,BLU,0.00,METER VIOLATION,14TH AVE KINCAID ST ALDE,239-4,NO TIME ON METER,14TH KINCAID,44.04411040000001,-123.0789666
6/17/08,SUBA,RED,0.00,METER VIOLATION,13TH AVE KINCAID ST ALDE,214-38,NO TIME ON METER,13TH KINCAID,44.04411040000001,-123.0789666
6/17/08,CHEV,BEI,0.00,TIME LIMIT ZONE,17TH AVE AGATE ST MOSS S,NA,CHALK MARK STILL VISIBLENO PERMIT VI,,,
6/17/08,FORD,WHT,24.00,TIME LIMIT ZONE,15TH AVE VILLARD ST MOSS,NA,CHALK MARK STILL VISIBLENO PERMIT VI,15TH VILLARD,44.0432966,-123.0648021
6/17/08,MAZD,WHT,0.00,TIME LIMIT ZONE,MOSS ST 17TH AVE 15TH AV,NA,CHALK MARK STILL VISIBLENO PERMIT VI,MOSS 17TH,44.04159629999999,-123.0660206
6/17/08,MERC,RED,0.00,METER VIOLATION,12TH AVE KINCAID ST ALDE,214-8,NO TIME ON METER,12TH KINCAID,44.04411040000001,-123.0789666
6/17/08,LEXS,WHT,0.00,METER VIOLATION,KINCAID ST 12TH AVE 13TH,214-22,NO TIME ON METER,KINCAID 12TH,44.04411040000001,-123.0789666
6/17/08,LEXS,BLK,0.00,METER VIOLATION,KINCAID ST END 15TH AVE,250-17,NO TIME ON METER,KINCAID END,44.028754,-123.079741
6/17/08,FORD,SIL,0.00,TIME LIMIT ZONE,15TH AVE ORCHARD ST VILL,NA,CHALK MARK STILL VISIBLE,,,
6/17/08,CADI,WHT,0.00,RESTRICTED BY SIGN,LOT 07 - AIRPORT TERMINAL,NA,VEHICLE,LOT -,44.0738645,-123.1453971
6/17/08,TOYT,GRY,0.00,HANDICAP,2828 CHAD DRIVE,NA,EXPIRED 04/17/06 PP869316,,,
6/17/08,DODG,RED,0.00,HANDICAP,7TH & SENECA - GOODWILL LOT,NA,PARKED IN DISABLED SPOT,,,
6/17/08,TOYT,RED,0.00,HANDICAP,500 VALLEY RIVER CENTER,NA,NO PERMIT VISIBLE,,,
6/17/08,CADI,BEI,0.00,RESTRICTED BY SIGN,15TH AVE - KINCAID AND ALDER,NA,COMMERCIAL MARKED VEHICLE ONLY,,,
6/17/08,TOYT,SIL,0.00,METER VIOLATION,N/S 12TH - KINCAID TO ALDER,209-33,NO TIME ON METER,,,
6/17/08,BUIC,WHT,0.00,METER VIOLATION,EAST PARK-8,43 86,NO TIME ON METER,,,
6/17/08,CADI,MAR,0.00,METER VIOLATION,BROADWAY ST LINCOLN ST C,39 40,NO TIME ON METER,BROADWAY LINCOLN,44.0496592,-123.0960881
6/17/08,TOYT,BLK,0.00,METER VIOLATION,OVERPARK N,51 84,NO TIME ON METER,,,
6/17/08,SUBA,GRY,0.00,METER VIOLATION,OAK ST SOUTH PARK-1E BRO,43 47,NO TIME ON METER,OAK SOUTH,44.0076951,-123.0269859
